nom_station,polluant,valeur,unite,date,x_l93,y_l93,
ANTIBES JEAN MOULIN,Dioxyde d'azote,8.8,,15/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,7.2,,15/10/2019 01:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,4.7,,15/10/2019 02:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,5.6,,15/10/2019 03:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,8.8,,15/10/2019 04:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,16.8,,15/10/2019 05:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,10.7,,15/10/2019 06:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,23.9,,15/10/2019 07:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,16.5,,15/10/2019 08:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,11.1,,15/10/2019 09:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,35.8,,15/10/2019 10:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,24.8,,15/10/2019 11:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,24.4,,15/10/2019 12:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,22.6,,15/10/2019 13:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,17.1,,15/10/2019 14:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,11.9,,15/10/2019 15:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,11,,15/10/2019 16:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,12.8,,15/10/2019 17:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,13.2,,15/10/2019 18:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,12.6,,15/10/2019 19:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,5.1,,15/10/2019 20:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,3.7,,15/10/2019 21:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,4.7,,15/10/2019 22:00,1030459.23,6286316.81,
