nom_station,polluant,valeur,unite,date,x_l93,y_l93,
ANTIBES JEAN MOULIN,Dioxyde d'azote,17.3,,14/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,13,,15/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,39.3,,16/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,33.6,,17/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,34.7,,18/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,16.5,,19/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,9.1,,20/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Oxydes d'azote,33.5,,14/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Oxydes d'azote,20.9,,15/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Oxydes d'azote,78.8,,16/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Oxydes d'azote,55.1,,17/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Oxydes d'azote,68.8,,18/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Oxydes d'azote,25.9,,19/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Oxydes d'azote,13.3,,20/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Ozone,54.8,,14/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Ozone,56.2,,15/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Ozone,30.8,,16/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Ozone,33.7,,17/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Ozone,20.8,,18/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Ozone,44,,19/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Ozone,54.3,,20/10/2019 00:00,1030459.23,6286316.81,
CANNES BROUSSAILLES,Dioxyde d'azote,8.6,,14/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Dioxyde d'azote,8.9,,15/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Dioxyde d'azote,20.1,,16/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Dioxyde d'azote,23.6,,17/10/2019 00:00,1023650.32,6281469.41,
